0,1,2,3,4,5,6,7,8,9,10,11
대전충남지방병무청,1. 기관소개,2. 정보목록 : 없음 ,3. 대전충남지방병무청 기록관 보유현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
충북지방병무청,1. 기관소개,2. 정보목록 : 없음 ,3. 충북지방병무청 기록관 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주전남지방병무청,1. 기관소개,2. 정보목록 : 없음 ,3. 광주전남지방병무청 기록관 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타 ,,,,,
전북지방병무청,1. 기관소개,2. 정보목록 : 없음,3. 전북지방병무청 기록관 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
제주지방병무청,1. 기관소개,2. 정보목록 : 없음,3. 제주지방병무청 기록관 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울본부세관,1. 기관소개,2. 정보목록,3. 보유기록물 현황: 없음 ,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
인천본부세관,1. 기관소개,2. 정보목록,3. 보유기록물 현황(파일),4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
대구본부세관,1. 기관소개,2. 정보목록,3. 대구본부세관 기록관 문서고 보유목록(파일),4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주본부세관,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
서울지방교정청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
